OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
895223,5895fd62,12/6/2015 2:00,Sunday,Dec,6,2015,2,12,6,2015,FELONY ASSAULT,FELONY,G,28,MANHATTAN,N.Y. POLICE DEPT,997172,231564,"(40.80226442, -73.953327272)"
895224,1f3587b2,12/6/2015 2:00,Sunday,Dec,6,2015,2,12,6,2015,FELONY ASSAULT,FELONY,G,28,MANHATTAN,N.Y. POLICE DEPT,997172,231564,"(40.80226442, -73.953327272)"
895225,7e9b6356,12/6/2015 2:00,Sunday,Dec,6,2015,2,12,8,2015,GRAND LARCENY,FELONY,E,43,BRONX,N.Y. TRANSIT POLICE,1017689,241175,"(40.8285900820001, -73.879172183)"
895232,c8947866,12/6/2015 2:30,Sunday,Dec,6,2015,2,12,6,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,F,107,QUEENS,N.Y. POLICE DEPT,1031912,204813,"(40.7287208760001, -73.828036503)"
895233,1f1017aa,12/6/2015 2:30,Sunday,Dec,6,2015,2,12,6,2015,FELONY ASSAULT,FELONY,G,115,QUEENS,N.Y. POLICE DEPT,1016409,211680,"(40.7476390240001, -73.883938566)"
895521,ce2afa87,12/6/2015 5:10,Sunday,Dec,6,2015,5,12,6,2015,BURGLARY,FELONY,G,114,QUEENS,N.Y. POLICE DEPT,1008246,221538,"(40.7747226120001, -73.913363891)"
895785,2255ae02,12/6/2015 5:15,Sunday,Dec,6,2015,5,12,6,2015,FELONY ASSAULT,FELONY,E,28,MANHATTAN,N.Y. POLICE DEPT,999562,233922,"(40.8087326620001, -73.944689232)"
895786,e356c70e,12/6/2015 5:30,Sunday,Dec,6,2015,5,12,6,2015,FELONY ASSAULT,FELONY,G,115,QUEENS,N.Y. POLICE DEPT,1016395,214622,"(40.755714116, -73.8839750289999)"
895790,d9a63134,12/6/2015 7:00,Sunday,Dec,6,2015,7,12,6,2015,FELONY ASSAULT,FELONY,G,73,BROOKLYN,N.Y. HOUSING POLICE,1007628,183445,"(40.6701682360001, -73.9157274889999)"
895792,1e08bb99,12/6/2015 7:00,Sunday,Dec,6,2015,7,12,7,2015,BURGLARY,FELONY,E,7,MANHATTAN,N.Y. HOUSING POLICE,990162,200091,"(40.7158865540001, -73.978675016)"
895794,53b19bd3,12/6/2015 8:30,Sunday,Dec,6,2015,8,12,7,2015,GRAND LARCENY,FELONY,G,81,BROOKLYN,N.Y. POLICE DEPT,1004261,188607,"(40.684345009, -73.9278496539999)"
895802,a674017d,12/6/2015 10:30,Sunday,Dec,6,2015,10,12,8,2015,GRAND LARCENY,FELONY,F,6,MANHATTAN,N.Y. POLICE DEPT,982746,206647,"(40.733883033, -74.0054283109999)"
896071,d4b45b49,12/6/2015 11:00,Sunday,Dec,6,2015,11,12,6,2015,FELONY ASSAULT,FELONY,E,50,BRONX,N.Y. POLICE DEPT,1010340,259064,"(40.877714811, -73.9056575929999)"
896084,3ee53237,12/6/2015 12:59,Sunday,Dec,6,2015,12,12,8,2015,GRAND LARCENY,FELONY,G,19,MANHATTAN,N.Y. POLICE DEPT,997131,218790,"(40.767203253, -73.953499854)"
896353,3cb717bc,12/6/2015 13:30,Sunday,Dec,6,2015,13,12,8,2015,GRAND LARCENY,FELONY,G,120,STATEN ISLAND,N.Y. POLICE DEPT,961010,170904,"(40.6357462930001, -74.0837347149999)"
896357,3fa89017,12/6/2015 14:00,Sunday,Dec,6,2015,14,12,6,2015,GRAND LARCENY,FELONY,G,112,QUEENS,N.Y. POLICE DEPT,1030588,200060,"(40.7156820960001, -73.832846219)"
896366,f9e421c3,12/6/2015 14:30,Sunday,Dec,6,2015,14,12,6,2015,GRAND LARCENY,FELONY,E,112,QUEENS,N.Y. POLICE DEPT,1025931,206343,"(40.732950551, -73.849606485)"
896367,a539c065,12/6/2015 14:30,Sunday,Dec,6,2015,14,12,8,2015,BURGLARY,FELONY,G,107,QUEENS,N.Y. POLICE DEPT,1041888,207963,"(40.737307452, -73.792016142)"
896635,85598065,12/6/2015 14:44,Sunday,Dec,6,2015,14,12,8,2015,GRAND LARCENY,FELONY,F,105,QUEENS,N.Y. POLICE DEPT,1058379,186744,"(40.678943734, -73.732742706)"
896641,c72952e5,12/6/2015 15:00,Sunday,Dec,6,2015,15,12,6,2015,GRAND LARCENY,FELONY,F,121,STATEN ISLAND,N.Y. POLICE DEPT,939842,160658,"(40.6075423670001, -74.159935081)"
896918,3ca45c04,12/6/2015 16:17,Sunday,Dec,6,2015,16,12,6,2015,FELONY ASSAULT,FELONY,G,52,BRONX,N.Y. POLICE DEPT,1013790,254575,"(40.8653830160001, -73.893201875)"
896919,8dac4db9,12/6/2015 16:17,Sunday,Dec,6,2015,16,12,6,2015,FELONY ASSAULT,FELONY,G,52,BRONX,N.Y. POLICE DEPT,1013790,254575,"(40.8653830160001, -73.893201875)"
896926,3afb8157,12/6/2015 17:00,Sunday,Dec,6,2015,17,12,6,2015,BURGLARY,FELONY,G,6,MANHATTAN,N.Y. POLICE DEPT,984593,207883,"(40.73727567, -73.998763743)"
896927,c932926f,12/6/2015 17:00,Sunday,Dec,6,2015,17,12,7,2015,BURGLARY,FELONY,E,13,MANHATTAN,N.Y. POLICE DEPT,986582,208440,"(40.738804196, -73.991586303)"
897197,152832da,12/6/2015 17:55,Sunday,Dec,6,2015,17,12,6,2015,FELONY ASSAULT,FELONY,F,44,BRONX,N.Y. POLICE DEPT,1005146,240722,"(40.8273853060001, -73.924496737)"
897206,5fa19900,12/6/2015 18:30,Sunday,Dec,6,2015,18,12,6,2015,ROBBERY,FELONY,G,109,QUEENS,N.Y. POLICE DEPT,1036369,216306,"(40.7602410810001, -73.811866596)"
897212,d660a44f,12/6/2015 19:00,Sunday,Dec,6,2015,19,12,6,2015,GRAND LARCENY,FELONY,F,19,MANHATTAN,N.Y. POLICE DEPT,993570,216847,"(40.7618746900001, -73.966358084)"
897215,5c20422a,12/6/2015 19:03,Sunday,Dec,6,2015,19,12,6,2015,FELONY ASSAULT,FELONY,F,79,BROOKLYN,N.Y. POLICE DEPT,999772,193799,"(40.69860486, -73.9440232539999)"
897216,83550bfe,12/6/2015 19:10,Sunday,Dec,6,2015,19,12,6,2015,RAPE,FELONY,F,75,BROOKLYN,N.Y. POLICE DEPT,1017141,183798,"(40.671106911, -73.881432957)"
897488,2561ca60,12/6/2015 20:00,Sunday,Dec,6,2015,20,12,6,2015,FELONY ASSAULT,FELONY,E,109,QUEENS,N.Y. POLICE DEPT,1031390,215833,"(40.758970769, -73.829842648)"
897491,75a81870,12/6/2015 20:10,Sunday,Dec,6,2015,20,12,6,2015,ROBBERY,FELONY,G,52,BRONX,N.Y. POLICE DEPT,1013999,254376,"(40.8648361200001, -73.892447136)"
897492,32b0f455,12/6/2015 20:15,Sunday,Dec,6,2015,20,12,6,2015,BURGLARY,FELONY,F,62,BROOKLYN,N.Y. POLICE DEPT,984832,161489,"(40.609934552, -73.997905316)"
897542,e947c912,2/27/2015 1:00,Friday,Feb,27,2015,1,6,1,2015,GRAND LARCENY,FELONY,G,67,BROOKLYN,N.Y. POLICE DEPT,1000468,173796,"(40.643699859, -73.94156134)"
897761,c3631446,12/6/2015 20:55,Sunday,Dec,6,2015,20,12,6,2015,ROBBERY,FELONY,G,1,MANHATTAN,N.Y. POLICE DEPT,981105,201199,"(40.718929164, -74.0113469619999)"
897763,26cfbdbd,12/6/2015 21:00,Sunday,Dec,6,2015,21,12,7,2015,GRAND LARCENY,FELONY,E,13,MANHATTAN,N.Y. POLICE DEPT,987189,207963,"(40.7374947690001, -73.9893961189999)"
897765,a10cb8d7,12/6/2015 21:03,Sunday,Dec,6,2015,21,12,7,2015,ROBBERY,FELONY,F,6,MANHATTAN,N.Y. POLICE DEPT,983452,206672,"(40.7339517440001, -74.002880864)"
897774,3a2dab0f,12/6/2015 21:30,Sunday,Dec,6,2015,21,12,6,2015,ROBBERY,FELONY,F,20,MANHATTAN,N.Y. POLICE DEPT,988708,224827,"(40.783781494, -73.9839036549999)"
898038,8724ee59,12/6/2015 21:52,Sunday,Dec,6,2015,21,12,8,2015,GRAND LARCENY,FELONY,G,68,BROOKLYN,N.Y. POLICE DEPT,975041,164539,"(40.6183014060001, -74.033172615)"
898040,a071b06d,12/6/2015 22:00,Sunday,Dec,6,2015,22,12,7,2015,GRAND LARCENY,FELONY,G,78,BROOKLYN,N.Y. POLICE DEPT,992136,183719,"(40.670947658, -73.971573346)"
898046,8488ae64,12/6/2015 22:30,Sunday,Dec,6,2015,22,12,7,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,E,102,QUEENS,N.Y. POLICE DEPT,1021672,188925,"(40.685161361, -73.86507075)"
898048,f995589e,12/6/2015 22:40,Sunday,Dec,6,2015,22,12,6,2015,ROBBERY,FELONY,F,75,BROOKLYN,N.Y. POLICE DEPT,1013865,181817,"(40.6656810760001, -73.893251272)"
898050,5c2591a3,12/6/2015 23:00,Sunday,Dec,6,2015,23,12,7,2015,BURGLARY,FELONY,F,78,BROOKLYN,N.Y. POLICE DEPT,988476,181576,"(40.6650681020001, -73.9847685559999)"
898051,382e6d33,12/6/2015 23:00,Sunday,Dec,6,2015,23,12,7,2015,BURGLARY,FELONY,E,77,BROOKLYN,N.Y. POLICE DEPT,997689,184653,"(40.673504591, -73.951553578)"
898053,8385676e,12/6/2015 23:00,Sunday,Dec,6,2015,23,12,7,2015,GRAND LARCENY OF MOTOR VEHICLE,FELONY,G,103,QUEENS,N.Y. POLICE DEPT,1038052,191174,"(40.6912499270001, -73.805992381)"
