OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
887899,d388890c,11/12/2015 10:30,Thursday,Nov,12,2015,10,11,14,2015,GRAND LARCENY,FELONY,A,40,BRONX,N.Y. HOUSING POLICE,1007373,232751,"(40.805501602, -73.916477255)"
887943,1071f610,1/10/2015 3:00,Saturday,Jan,10,2015,3,1,10,2015,ROBBERY,FELONY,C,41,BRONX,N.Y. POLICE DEPT,1015252,236829,"(40.8166704400001, -73.8879981649999)"
887951,6b00853,1/10/2015 4:00,Saturday,Jan,10,2015,4,1,21,2015,FELONY ASSAULT,FELONY,B,13,MANHATTAN,N.Y. POLICE DEPT,989866,208688,"(40.7394834200001, -73.9797356079999)"
887953,5c387c2c,1/10/2015 4:00,Saturday,Jan,10,2015,4,1,20,2015,FELONY ASSAULT,FELONY,A,33,MANHATTAN,N.Y. POLICE DEPT,1000543,242270,"(40.831643813, -73.941125256)"
887956,3001d3a1,1/10/2015 4:30,Saturday,Jan,10,2015,4,1,10,2015,FELONY ASSAULT,FELONY,A,48,BRONX,N.Y. POLICE DEPT,1013706,252409,"(40.8594382840001, -73.8935150889999)"
887958,37b9502d,1/10/2015 4:40,Saturday,Jan,10,2015,4,1,10,2015,GRAND LARCENY,FELONY,B,69,BROOKLYN,N.Y. TRANSIT POLICE,1011359,174331,"(40.6451416800001, -73.9023144779999)"
888164,608bae1f,11/12/2015 10:49,Thursday,Nov,12,2015,10,11,12,2015,GRAND LARCENY,FELONY,C,14,MANHATTAN,N.Y. POLICE DEPT,988083,212199,"(40.749121191, -73.9861677229999)"
888165,cb50d468,11/12/2015 11:00,Thursday,Nov,12,2015,11,11,16,2015,GRAND LARCENY,FELONY,A,100,QUEENS,N.Y. POLICE DEPT,1041318,156513,"(40.596092738, -73.794508483)"
888171,1a7bc1b9,11/12/2015 11:35,Thursday,Nov,12,2015,11,11,12,2015,GRAND LARCENY,FELONY,B,78,BROOKLYN,N.Y. POLICE DEPT,988610,186251,"(40.6778998670001, -73.984282521)"
888175,7ab222f9,11/12/2015 12:00,Thursday,Nov,12,2015,12,11,15,2015,GRAND LARCENY,FELONY,A,83,BROOKLYN,N.Y. POLICE DEPT,1009775,189638,"(40.687160684, -73.907964447)"
888177,3929b765,11/12/2015 12:00,Thursday,Nov,12,2015,12,12,18,2015,GRAND LARCENY,FELONY,C,90,BROOKLYN,N.Y. POLICE DEPT,994467,195749,"(40.7039648690001, -73.963152126)"
